question_id,clip_id,musical_element,primary_skill_code,primary_skill_name,secondary_skill_codes,learning_stage,difficulty_band,period,genre,ensemble,metadata_confidence,metadata_review_status
MI-D-002,CLIP-33A49A248820,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-003,CLIP-87B3B1997579,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-004,CLIP-DF4747CDC766,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-005,CLIP-57D39FB99ACA,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-006,CLIP-80EB25C0BC48,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-007,CLIP-E493845D36BC,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-008,CLIP-34D1760E6ECF,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-009,CLIP-A494B785E88A,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-010,CLIP-19DB1567F003,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-011,CLIP-2F21E7F7C090,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-012,CLIP-99FBE1FD0A14,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-013,CLIP-E0DF93960097,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-014,CLIP-2327F3193F69,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-015,CLIP-B91F13BFD047,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-016,CLIP-DA08532E88EC,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-017,CLIP-E113AC2E5A31,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-018,CLIP-29BF56FE2D6C,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-019,CLIP-D2D32A39FF58,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-020,CLIP-6D1916C62FBD,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-021,CLIP-707CC2BADEB8,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-022,CLIP-AD1E59332EC4,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-023,CLIP-5188F36C5EA1,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-024,CLIP-687AE37A5454,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-025,CLIP-A44F1BA7BBC8,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-026,CLIP-2329CF8B1986,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-027,CLIP-94823CA72B44,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-028,CLIP-662A0A36D21F,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-029,CLIP-106FD744539F,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-030,CLIP-584B1A4734BA,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-031,CLIP-CBA449395529,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-032,CLIP-369CA710A8B5,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-033,CLIP-F22B0998779B,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-034,CLIP-9AE4E7B8D385,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-035,CLIP-AE64D52857C0,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-036,CLIP-4C4CF8BF6643,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-037,CLIP-19A0AB441BC0,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-038,CLIP-B394355DB8B3,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-039,CLIP-1ECEC26BE1DE,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-040,CLIP-676B3E4E8F81,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-041,CLIP-E836C443B74F,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-042,CLIP-4CC36BBE4D41,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-043,CLIP-0F45018F427C,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-044,CLIP-1077844AA846,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-045,CLIP-64E68253C4E7,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-046,CLIP-3986F4D1EC56,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-047,CLIP-75C20F2E0764,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-048,CLIP-624C40CE7B6E,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-049,CLIP-9F02382DF07F,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-050,CLIP-5ACEF58F7A67,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-051,CLIP-A54D2EFB057A,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-052,CLIP-EFC3DAE122F6,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-053,CLIP-FF90A14BB915,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-054,CLIP-A494B785E88A,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-055,CLIP-4854131DD101,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-056,CLIP-E113AC2E5A31,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-057,CLIP-2C21446B6F93,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-058,CLIP-4005AEB24617,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-059,CLIP-A44F1BA7BBC8,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-060,CLIP-416BBD5A1F0E,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-061,CLIP-054DDEEB4B3D,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-062,CLIP-173A56E80B11,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-063,CLIP-369CA710A8B5,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-064,CLIP-C607910D8898,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-065,CLIP-3DF3A674EC78,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-066,CLIP-EB0F18C0212A,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-067,CLIP-1732766ED9CA,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-068,CLIP-B394355DB8B3,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-069,CLIP-2969EC8B1C34,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-070,CLIP-36D960DB602A,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-071,CLIP-EFBB6B4D4D28,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-072,CLIP-550AFF24F04A,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-073,CLIP-6BF2F2634734,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-074,CLIP-0F45018F427C,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-075,CLIP-57A148C6D30C,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-076,CLIP-51F4EA1BE573,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-077,CLIP-B4CE22C94FC4,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-078,CLIP-7BA4AC8E14CB,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-079,CLIP-4269B3B5E0B5,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-080,CLIP-2B5322F919D4,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-081,CLIP-75C20F2E0764,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-082,CLIP-D065E4EA438D,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-083,CLIP-8BCC3B38A9BC,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-084,CLIP-890F00F069F8,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-085,CLIP-26ABA172BC96,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-086,CLIP-05CA50569C40,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-087,CLIP-2CD6E549BFF9,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-088,CLIP-12FF0AC2CD96,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-089,CLIP-5ACEF58F7A67,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-090,CLIP-58ED23C72C9D,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-091,CLIP-7A09D04064D8,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-092,CLIP-EC0AAD34EDA1,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-093,CLIP-2B1891BA07A3,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-094,CLIP-FE5C07958BAC,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-095,CLIP-ADFBD348022A,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-096,CLIP-80BBC8C616E4,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-097,CLIP-EFC3DAE122F6,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-098,CLIP-3AA5815D2BB3,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-099,CLIP-33403F045684,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-100,CLIP-9617A9CBBDF6,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-101,CLIP-77BA98ACC65E,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-102,CLIP-6A58D561B588,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-103,CLIP-DFBBF9837B0D,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-104,CLIP-C6BF016EEAFE,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-105,CLIP-FF90A14BB915,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-106,CLIP-33A49A248820,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-107,CLIP-87B3B1997579,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-108,CLIP-77C6B89FA7B3,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-109,CLIP-57D39FB99ACA,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-110,CLIP-80EB25C0BC48,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-111,CLIP-E493845D36BC,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-112,CLIP-34D1760E6ECF,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-113,CLIP-A494B785E88A,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-114,CLIP-19DB1567F003,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-115,CLIP-5463C2CAB12A,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-116,CLIP-99FBE1FD0A14,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-117,CLIP-E0DF93960097,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-118,CLIP-2327F3193F69,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-119,CLIP-B91F13BFD047,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-120,CLIP-DA08532E88EC,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-121,CLIP-E113AC2E5A31,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-122,CLIP-0184D6A66619,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-123,CLIP-D2D32A39FF58,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-124,CLIP-6D1916C62FBD,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-125,CLIP-707CC2BADEB8,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-126,CLIP-AD1E59332EC4,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-127,CLIP-5188F36C5EA1,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-128,CLIP-687AE37A5454,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-129,CLIP-45E4DA13B791,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-130,CLIP-036829455C2C,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-131,CLIP-68515C29EA4B,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-132,CLIP-A22836756C52,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-133,CLIP-9E5B9AD6F415,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-134,CLIP-54AE2272D186,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-135,CLIP-957481286263,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-136,CLIP-369CA710A8B5,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-137,CLIP-F22B0998779B,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-138,CLIP-9AE4E7B8D385,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-139,CLIP-AE64D52857C0,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-140,CLIP-4C4CF8BF6643,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-141,CLIP-19A0AB441BC0,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-142,CLIP-B394355DB8B3,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-143,CLIP-1ECEC26BE1DE,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-144,CLIP-676B3E4E8F81,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-145,CLIP-E836C443B74F,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-146,CLIP-4CC36BBE4D41,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-147,CLIP-0F45018F427C,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-148,CLIP-1077844AA846,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-149,CLIP-64E68253C4E7,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-150,CLIP-3986F4D1EC56,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-151,CLIP-75C20F2E0764,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-152,CLIP-624C40CE7B6E,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-153,CLIP-9F02382DF07F,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-154,CLIP-5ACEF58F7A67,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-155,CLIP-A54D2EFB057A,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-156,CLIP-EFC3DAE122F6,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-157,CLIP-FF90A14BB915,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-158,CLIP-A494B785E88A,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-159,CLIP-4854131DD101,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-160,CLIP-E113AC2E5A31,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-161,CLIP-2C21446B6F93,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-162,CLIP-4005AEB24617,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-163,CLIP-45E4DA13B791,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-164,CLIP-AACE757DD446,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-165,CLIP-5E87D453DCBB,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-166,CLIP-A6601168B303,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-167,CLIP-369CA710A8B5,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-168,CLIP-0D0BF4608038,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-169,CLIP-3DF3A674EC78,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-170,CLIP-EB0F18C0212A,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-171,CLIP-1732766ED9CA,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-172,CLIP-B394355DB8B3,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-173,CLIP-2969EC8B1C34,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-174,CLIP-DF1C97C8E44F,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-175,CLIP-EFBB6B4D4D28,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-176,CLIP-550AFF24F04A,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-177,CLIP-6BF2F2634734,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-178,CLIP-0F45018F427C,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-179,CLIP-57A148C6D30C,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-180,CLIP-51F4EA1BE573,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-181,CLIP-8ED8CD53D031,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-182,CLIP-7BA4AC8E14CB,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-183,CLIP-4269B3B5E0B5,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-184,CLIP-2B5322F919D4,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-185,CLIP-75C20F2E0764,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-186,CLIP-D065E4EA438D,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-187,CLIP-8BCC3B38A9BC,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
MI-D-188,CLIP-890F00F069F8,Melody,MEL.INTERVAL.NUMBER,Interval number,,identify,Developing,,Generated ear-training interval,,high,Tagged
