ID,Family,Instrument,TYPE,DIFFICULTY,COMPOSER,Genre,Year,Key,WORK,Remarks,II Question,II Answer,MM Question,MM Answer,Articulation,Cadence,AUDIO,Sourcse,Rights
II103,Strings,CELLO,Solo,EASY,Bach,Baroque,,E flat Major,Suite No. 4 (3),,Identify the instrument.,CELLO,,,,,https://drive.google.com/file/d/1iFeCC3AMJFNwZoHRvdaJB2QrDssulIIp/view?usp=sharing,MusOpen,PD
II104,Strings,CELLO,Solo,EASY,Bach,Baroque,,E flat Major,Suite No. 4 (3),,Identify the instrument.,CELLO,,,,,https://drive.google.com/file/d/1XgX1P226S8oIxZNtxecpmn9tXVijEOB9/view?usp=sharing,MusOpen,PD
II105,Strings,ACOUSTIC GUITAR,Solo,MEDIUM,Bach,Baroque,,,Suite No. 4 (Bouree),,Identify the instrument.,ACOUSTIC GUITAR,,,,,https://drive.google.com/file/d/1NV4QKtEQw0iuwfOrDpdiGcdMYdkAfH2e/view?usp=sharing,MusOpen,PD
II106,Strings,ACOUSTIC GUITAR,Solo,MEDIUM,Bach,Baroque,,,Suite No. 4 (Bouree),,Identify the instrument.,ACOUSTIC GUITAR,,,,,https://drive.google.com/file/d/1oA-7RH5FHfT7mIicgSAnorv5QwVwx3W0/view?usp=sharing,MusOpen,PD
II107,Strings,ACOUSTIC GUITAR,Solo,MEDIUM,Bach,Baroque,,,Suite No. 4 (Gigue),,Identify the instrument.,ACOUSTIC GUITAR,,,,,https://drive.google.com/file/d/14WGdYkmNwq62zdEGKhPIXIDOBR8iwHz3/view?usp=sharing,MusOpen,PD
II108,Strings,ACOUSTIC GUITAR,Solo,MEDIUM,Bach,Baroque,,,Suite No. 4 (Gigue),,Identify the instrument.,ACOUSTIC GUITAR,,,,,https://drive.google.com/file/d/1IwG-jW5Nw9Cnodj3T4ZtfHSykZGQx5NL/view?usp=sharing,MusOpen,PD
II109,Strings,CELLO,Solo,EASY,Bach,Baroque,,E flat Major,Suite No. 4 (1),,Identify the instrument.,CELLO,,,,,https://drive.google.com/file/d/1gPiDff9hjBamQ6c8plyGM6qv30jFBA-c/view?usp=sharing,MusOpen,PD
II110,Strings,CELLO,Solo,EASY,Bach,Baroque,,E flat Major,Suite No. 4 (1),,Identify the instrument.,CELLO,,,,,https://drive.google.com/file/d/1tnsjaMIaPAJP5w-WLp5_k753ZPFw4UUS/view?usp=sharing,MusOpen,PD
II111,Strings,CELLO,Solo,EASY,Bach,Baroque,,E flat Major,Suite No. 4 (1),,Identify the instrument.,CELLO,,,,,https://drive.google.com/file/d/1ZD7tSzihxWkiMz77uw4C-oJw3X6CLwWy/view?usp=sharing,MusOpen,PD
II112,Strings,CELLO,Solo,EASY,Bach,Baroque,,,Suite No. 4 (4),,Identify the instrument.,CELLO,,,,,https://drive.google.com/file/d/1Dkq2FYsn8aQbUj-PfnqQQdN2pvhWPtIZ/view?usp=sharing,MusOpen,PD
II113,Strings,CELLO,Solo,EASY,Bach,Baroque,,,Suite No. 4 (4),,Identify the instrument.,CELLO,,,,,https://drive.google.com/file/d/1oqevfy20h5JZ91c7Hqi53Usg5PJFkj6y/view?usp=sharing,MusOpen,PD
II114,Strings,CELLO,Solo,EASY,Bach,Baroque,,,Suite No. 4 (4),,Identify the instrument.,CELLO,,,,,https://drive.google.com/file/d/1d_b3BH7GlNpM030Q_WRY1nw61JFb4bG2/view?usp=sharing,MusOpen,PD
II115,Strings,CELLO,Piano Accomp.,EASY,Beethoven,Classical,,,Cello Sonata Op. 69 (2),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1lqSqajy6k7P509W6cVUgjc4T71TKeQSR/view?usp=sharing,MusOpen,PD
II116,Strings,CELLO,Piano Accomp.,MEDIUM,Beethoven,Classical,,,Cello Sonata Op. 69 (2),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1GvsjqkTSINnVnYtlA8fFDd0el0w6rjeI/view?usp=sharing,MusOpen,PD
II117,Strings,CELLO,Piano Accomp.,MEDIUM,Beethoven,Classical,,,Cello Sonata Op. 69 (2),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1fTYfqmRs41CSHdpJS98JzSDPcAWTJ3nC/view?usp=sharing,MusOpen,PD
II118,Strings,CELLO,Piano Accomp.,EASY,,,,,Op. 5 No.2 (2),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1Tw5SfebiJ5a1MRbj8r8FkzIc_-_eimys/view?usp=sharing,MusOpen,PD
II119,Strings,CELLO,Piano Accomp.,EASY,,,,,Op. 5 No.2 (2),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1j2R-xduhwAZiRPCrOMV4VTvMwBPN8bxu/view?usp=sharing,MusOpen,PD
II120,Strings,CELLO,Piano Accomp.,MEDIUM,,,,,Op. 5 No.2 (2),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/17uWhdCjZww56CxQX4tWhekz-M8qOLAsv/view?usp=sharing,MusOpen,PD
II121,Strings,DOUBLE BASS,Orchestral,HARD,Bottesini,Romantic,,B minor,Double Bass Concerto No. 2 (2),,Identify the solo instrument.,DOUBLE BASS,,,,,https://drive.google.com/file/d/1kUBr49BXmdP1KNJOkNa9icXB6DvJAEmh/view?usp=sharing,MusOpen,PD
II122,Strings,DOUBLE BASS,Orchestral,HARD,Bottesini,Romantic,,B minor,Double Bass Concerto No. 2 (2),,Identify the solo instrument.,DOUBLE BASS,,,,,https://drive.google.com/file/d/1SzbGboQDQhfvi46gRxHBBp0z77Vcrp7b/view?usp=sharing,MusOpen,PD
II123,Strings,DOUBLE BASS,Orchestral,HARD,Bottesini,Romantic,,B minor,Double Bass Concerto No. 2 (2),,Identify the solo instrument.,DOUBLE BASS,,,,,https://drive.google.com/file/d/1bBd6uB33QbjKOGYF8lMEQh6yvBKcFAjR/view?usp=sharing,MusOpen,PD
II124,Strings,DOUBLE BASS,Orchestral,HARD,Bottesini,Romantic,,B minor,Double Bass Concerto No. 2 (2),,Identify the solo instrument.,DOUBLE BASS,,,,,https://drive.google.com/file/d/1kLhF9xNuBqzTO24JgmVhIiT-RDjuRD4M/view?usp=sharing,MusOpen,PD
II125,Strings,DOUBLE BASS,Orchestral,HARD,Bottesini,Romantic,,B minor,Double Bass Concerto No. 2 (3),,Identify the solo instrument.,DOUBLE BASS,,,,,https://drive.google.com/file/d/1XVWNIC-RFjYDTybmtQEuqhSSG4OsL5IQ/view?usp=sharing,MusOpen,PD
II126,Strings,DOUBLE BASS,Orchestral,HARD,Bottesini,Romantic,,B minor,Double Bass Concerto No. 2 (3),,Identify the solo instrument.,DOUBLE BASS,,,,,https://drive.google.com/file/d/10ODxYe_yrGpn6REMqqrg3dpvqQRKR0rs/view?usp=sharing,MusOpen,PD
II127,Strings,DOUBLE BASS,Orchestral,HARD,Bottesini,Romantic,,B minor,Double Bass Concerto No. 2 (3),,Identify the solo instrument.,DOUBLE BASS,,,,,https://drive.google.com/file/d/1BSRjuT8RM0R1fB62Cjon_qjBF92PIcd6/view?usp=sharing,MusOpen,PD
II128,Strings,DOUBLE BASS,Orchestral,HARD,Bottesini,Romantic,,B minor,Double Bass Concerto No. 2 (3),,Identify the solo instrument.,DOUBLE BASS,,,,,https://drive.google.com/file/d/1FwemUffImhuiNm9ue5TIkfqH8c1Axecb/view?usp=sharing,MusOpen,PD
II129,Strings,DOUBLE BASS,Orchestral,HARD,Bottesini,Romantic,,B minor,Double Bass Concerto No. 2 (1),,Identify the solo instrument.,DOUBLE BASS,,,,,https://drive.google.com/file/d/1mGOhYcghJT0ZXP0bqrTExx7PZmWssrwV/view?usp=sharing,MusOpen,PD
II130,Strings,DOUBLE BASS,Orchestral,HARD,Bottesini,Romantic,,B minor,Double Bass Concerto No. 2 (1),,Identify the solo instrument.,DOUBLE BASS,,,Harmonics,,https://drive.google.com/file/d/1qF3t7Em6i5zqrXcnLWAp6p3xblm1Cchq/view?usp=sharing,MusOpen,PD
II131,Strings,DOUBLE BASS,Orchestral,HARD,Bottesini,Romantic,,B minor,Double Bass Concerto No. 2 (1),,Identify the solo instrument.,DOUBLE BASS,,,,,https://drive.google.com/file/d/17KLW_4KZK44LsbxeDQuj7dVpemgFeDWu/view?usp=sharing,MusOpen,PD
II132,Brass,TRUMPET,Orchestral,EASY,Haydn,Classical,,E flat Major,Trumpet Concerto HOB VIIe (1),,Identify the solo instrument.,TRUMPET,,,,,II132.mp3,MusOpen,PD
II133,Brass,TRUMPET,Orchestral,EASY,Haydn,Classical,,E flat Major,Trumpet Concerto HOB VIIe (1),,Identify the solo instrument.,TRUMPET,,,,,II133.mp3,MusOpen,PD
II134,Brass,TRUMPET,Orchestral,EASY,Haydn,Classical,,E flat Major,Trumpet Concerto HOB VIIe (1),,Identify the solo instrument.,TRUMPET,,,,,II134.mp3,MusOpen,PD
II135,Brass,TRUMPET,Orchestral,EASY,Haydn,Classical,,E flat Major,Trumpet Concerto HOB VIIe (1),,Identify the solo instrument.,TRUMPET,,,,,II135.mp3,MusOpen,PD
II136,Brass,TRUMPET,Orchestral,EASY,Haydn,Classical,,E flat Major,Trumpet Concerto HOB VIIe (1),,Identify the solo instrument.,TRUMPET,,,,,II136.mp3,MusOpen,PD
II137,Brass,TRUMPET,Orchestral,EASY,Haydn,Classical,,E flat Major,Trumpet Concerto HOB VIIe (1),,Identify the solo instrument.,TRUMPET,,,,,II137.mp3,MusOpen,PD
II138,Brass,TRUMPET,Orchestral,EASY,Haydn,Classical,,E flat Major,Trumpet Concerto HOB VIIe (2),,Identify the solo instrument.,TRUMPET,,,,,II138.mp3,MusOpen,PD
II139,Brass,TRUMPET,Orchestral,EASY,Haydn,Classical,,E flat Major,Trumpet Concerto HOB VIIe (2),,Identify the solo instrument.,TRUMPET,,,,,II139.mp3,MusOpen,PD
II140,Brass,TRUMPET,Orchestral,EASY,Haydn,Classical,,E flat Major,Trumpet Concerto HOB VIIe (3),,Identify the solo instrument.,TRUMPET,,,,,II140.mp3,MusOpen,PD
II141,Brass,TRUMPET,Orchestral,EASY,Haydn,Classical,,E flat Major,Trumpet Concerto HOB VIIe (3),,Identify the solo instrument.,TRUMPET,,,,,II141.mp3,MusOpen,PD
II142,Brass,TRUMPET,Orchestral,EASY,Haydn,Classical,,E flat Major,Trumpet Concerto HOB VIIe (3),,Identify the solo instrument.,TRUMPET,,,,,II142.mp3,MusOpen,PD
II143,Brass,TRUMPET,Orchestral,EASY,Haydn,Classical,,E flat Major,Trumpet Concerto HOB VIIe (3),,Identify the solo instrument.,TRUMPET,,,,,II143.mp3,MusOpen,PD
II144,Brass,TRUMPET,Organ Accomp.,MEDIUM,Grossi,Baroque,,D Major,Trumpet Sonata Op. 3 No.12 (3),,Identify the solo instrument.,TRUMPET,,,,,II144.mp3,MusOpen,PD
II145,Brass,TRUMPET,Organ Accomp.,MEDIUM,Grossi,Baroque,,D Major,Trumpet Sonata Op. 3 No.12 (3),,Identify the solo instrument.,TRUMPET,,,,,II145.mp3,MusOpen,PD
II146,Brass,FRENCH HORN,Orchestral,MEDIUM,Mozart,Classical,,D Major,Horn Concerto K142 (1),,Identify the solo instrument.,FRENCH HORN,,,,,II146.mp3,MusOpen,PD
II147,Brass,FRENCH HORN,Orchestral,MEDIUM,Mozart,Classical,,D Major,Horn Concerto K142 (1),,Identify the solo instrument.,FRENCH HORN,,,,,II147.mp3,MusOpen,PD
II148,Brass,FRENCH HORN,Orchestral,MEDIUM,Mozart,Classical,,D Major,Horn Concerto K142 (1),,Identify the solo instrument.,FRENCH HORN,,,,,II148.mp3,MusOpen,PD
II149,Brass,FRENCH HORN,Orchestral,MEDIUM,Mozart,Classical,,D Major,Horn Concerto K142 (1),,Identify the solo instrument.,FRENCH HORN,,,,,II149.mp3,MusOpen,PD
II150,Brass,FRENCH HORN,Piano Accomp.,HARD,Glazunov,Romantic,,,Reverie Op. 24,Low Quality,Identify the solo instrument.,FRENCH HORN,,,,,II150.mp3,MusOpen,PD
II151,Brass,FRENCH HORN,Piano Accomp.,HARD,Glazunov,Romantic,,,Reverie Op. 24,Low Quality,Identify the solo instrument.,FRENCH HORN,,,,,II151.mp3,MusOpen,PD
II152,Woodwind,CLARINET,Orchestral,EASY,von Weber,Classical,,F minor,Clarinet Concerto Op. 73 (2),Low Quality,Identify the solo instrument.,CLARINET,,,,,II152.mp3,MusOpen,PD
II153,Woodwind,CLARINET,Orchestral,MEDIUM,von Weber,Classical,,F minor,Clarinet Concerto Op. 73 (2),Low Quality,Identify the solo instrument.,CLARINET,,,,,II153.mp3,MusOpen,PD
II154,Woodwind,CLARINET,Orchestral,MEDIUM,von Weber,Classical,,F minor,Clarinet Concerto Op. 73 (2),Low Quality,Identify the solo instrument.,CLARINET,,,,,II154.mp3,MusOpen,PD
II155,Woodwind,CLARINET,Orchestral,MEDIUM,von Weber,Classical,,F minor,Clarinet Concerto Op. 73 (2),Low Quality,Identify the solo instrument.,CLARINET,,,,,II155.mp3,MusOpen,PD
II156,Woodwind,CLARINET,Orchestral,MEDIUM,von Weber,Classical,,F minor,Clarinet Concerto Op. 73 (1),,Identify the solo instrument.,CLARINET,,,,,II156.mp3,MusOpen,PD
II157,Woodwind,CLARINET,Orchestral,EASY,von Weber,Classical,,F minor,Clarinet Concerto Op. 73 (1),,Identify the solo instrument.,CLARINET,,,,,II157.mp3,MusOpen,PD
II158,Woodwind,CLARINET,Orchestral,EASY,von Weber,Classical,,F minor,Clarinet Concerto Op. 73 (1),,Identify the solo instrument.,CLARINET,,,,,II158.mp3,MusOpen,PD
II159,Woodwind,CLARINET,Orchestral,EASY,von Weber,Classical,,F minor,Clarinet Concerto Op. 73 (1),,Identify the solo instrument.,CLARINET,,,,,II159.mp3,MusOpen,PD
II160,Woodwind,CLARINET,Orchestral,EASY,von Weber,Classical,,F minor,Clarinet Concerto Op. 73 (1),,Identify the solo instrument.,CLARINET,,,,,II160.mp3,MusOpen,PD
II161,Woodwind,CLARINET,Orchestral,EASY,von Weber,Classical,,F minor,Clarinet Concerto Op. 73 (3),,Identify the solo instrument.,CLARINET,,,,,II161.mp3,MusOpen,PD
II162,Woodwind,CLARINET,Orchestral,EASY,von Weber,Classical,,F minor,Clarinet Concerto Op. 73 (3),,Identify the solo instrument.,CLARINET,,,,,II162.mp3,MusOpen,PD
II163,Woodwind,CLARINET,Orchestral,EASY,von Weber,Classical,,F minor,Clarinet Concerto Op. 73 (3),,Identify the solo instrument.,CLARINET,,,,,II163.mp3,MusOpen,PD
II164,Woodwind,CLARINET,Organ Accomp.,EASY,von Weber,Classical,,F minor,Clarinet Concerto Op. 73 (3),,Identify the solo instrument.,CLARINET,,,,,II164.mp3,MusOpen,PD
II165,Woodwind,CLARINET,Organ Accomp.,EASY,,,,F minor,Clarinet Concerto,,Identify the solo instrument.,CLARINET,,,,,II165.mp3,MusOpen,PD
II166,Woodwind,CLARINET,Organ Accomp.,MEDIUM,,,,,Clarinet Concerto,,Identify the solo instrument.,CLARINET,,,,,II166.mp3,MusOpen,PD
II167,Woodwind,CLARINET,Organ Accomp.,MEDIUM,,,,,Clarinet Concerto,,Identify the solo instrument.,CLARINET,,,,,II167.mp3,MusOpen,PD
II168,Woodwind,CLARINET,Organ Accomp.,MEDIUM,,,,,Clarinet Concerto,,Identify the solo instrument.,CLARINET,,,,,II168.mp3,MusOpen,PD
II169,Woodwind,CLARINET,Organ Accomp.,MEDIUM,,,,,Clarinet Concerto,,Identify the solo instrument.,CLARINET,,,,,II169.mp3,MusOpen,PD
II170,Woodwind,CLARINET,Organ Accomp.,MEDIUM,,,,,Clarinet Concerto,,Identify the solo instrument.,CLARINET,,,,,II170.mp3,MusOpen,PD
II171,Woodwind,CLARINET,Orchestral,EASY,von Weber,Classical,,E flat Major,Clarinet Concerto Op. 26,,Identify the solo instrument.,CLARINET,,,,,II171.mp3,MusOpen,PD
II172,Woodwind,CLARINET,Orchestral,EASY,von Weber,Classical,,E flat Major,Clarinet Concerto Op. 26,,Identify the solo instrument.,CLARINET,,,,,II172.mp3,MusOpen,PD
II173,Woodwind,CLARINET,Orchestral,EASY,von Weber,Classical,,E flat Major,Clarinet Concerto Op. 26,,Identify the solo instrument.,CLARINET,,,,,II173.mp3,MusOpen,PD
II174,Woodwind,CLARINET,Orchestral,EASY,von Weber,Classical,,E flat Major,Clarinet Concerto Op. 26,,Identify the solo instrument.,CLARINET,,,,,II174.mp3,MusOpen,PD
II175,Woodwind,CLARINET,Orchestral,EASY,von Weber,Classical,,E flat Major,Clarinet Concerto Op. 26,,Identify the solo instrument.,CLARINET,,,,,II175.mp3,MusOpen,PD
II176,Woodwind,CLARINET,Orchestral,,Mozart,Classical,,A Major,Clarinet Concerto K662,,Identify the solo instrument.,CLARINET,,,,,II176.mp3,MusOpen,PD
II177,Woodwind,CLARINET,Orchestral,,Mozart,Classical,,A Major,Clarinet Concerto K662,,Identify the solo instrument.,CLARINET,,,,,II177.mp3,MusOpen,PD
II178,Woodwind,CLARINET,Orchestral,,Mozart,Classical,,A Major,Clarinet Concerto K662,,Identify the solo instrument.,CLARINET,,,,,II178.mp3,MusOpen,PD
II179,Woodwind,CLARINET,Orchestral,,Mozart,Classical,,A Major,Clarinet Concerto K662,,Identify the solo instrument.,CLARINET,,,,,II179.mp3,MusOpen,PD
II180,Woodwind,CLARINET,Orchestral,,Mozart,Classical,,A Major,Clarinet Concerto K662,,Identify the solo instrument.,CLARINET,,,,,II180.mp3,MusOpen,PD
II181,Woodwind,CLARINET,Orchestral,,Mozart,Classical,,A Major,Clarinet Concerto K662 (2),,Identify the solo instrument.,CLARINET,,,,,II181.mp3,MusOpen,PD
II182,Woodwind,CLARINET,Orchestral,,Mozart,Classical,,A Major,Clarinet Concerto K662 (2),,Identify the solo instrument.,CLARINET,,,,,II182.mp3,MusOpen,PD
II183,Woodwind,CLARINET,Orchestral,,Mozart,Classical,,A Major,Clarinet Concerto K662 (2),,Identify the solo instrument.,CLARINET,,,,,II183.mp3,MusOpen,PD
II184,Woodwind,FLUTE,Piano Accomp.,,Faure,Romantic,,E minor,Fantasia Op. 79 Allegro,,Identify the solo instrument.,FLUTE,,,,,II184.mp3,MusOpen,PD
II185,Woodwind,FLUTE,Piano Accomp.,,Faure,Romantic,,E minor,Fantasia Op. 79 Allegro,,Identify the solo instrument.,FLUTE,,,,,II185.mp3,MusOpen,PD
II186,Woodwind,FLUTE,Piano Accomp.,,Faure,Romantic,,E minor,Fantasia Op. 79 Allegro,,Identify the solo instrument.,FLUTE,,,,,II186.mp3,MusOpen,PD
II187,Woodwind,FLUTE,Piano Accomp.,,Faure,Romantic,,E minor,Fantasia Op. 79 Allegro,,Identify the solo instrument.,FLUTE,,,,,II187.mp3,MusOpen,PD
II188,Woodwind,FLUTE,Piano Accomp.,,Faure,Romantic,,E minor,Fantasia Op. 79 Andantino,,Identify the solo instrument.,FLUTE,,,,,II188.mp3,MusOpen,PD
II189,Woodwind,FLUTE,Piano Accomp.,,Faure,Romantic,,E minor,Fantasia Op. 79 Andantino,,Identify the solo instrument.,FLUTE,,,,,II189.mp3,MusOpen,PD
II190,Woodwind,FLUTE,Piano Accomp.,,Faure,Romantic,,E minor,Fantasia Op. 79 Andantino,,Identify the solo instrument.,FLUTE,,,,,II190.mp3,MusOpen,PD
II191,Woodwind,RECORDER,Harpsichord,,Bach,Baroque,,E minor,Flute Sonata BWV 1034,,Identify the solo instrument.,RECORDER,,,,,II191.mp3,MusOpen,PD
II192,Woodwind,RECORDER,Harpsichord,,Bach,Baroque,,E minor,Flute Sonata BWV 1034,,Identify the solo instrument.,RECORDER,,,,,II192.mp3,MusOpen,PD
II193,Woodwind,RECORDER,Harpsichord,,Bach,Baroque,,E minor,Flute Sonata BWV 1034,,Identify the solo instrument.,RECORDER,,,,,II193.mp3,MusOpen,PD
II194,Woodwind,RECORDER,Harpsichord,,Bach,Baroque,,E minor,Flute Sonata BWV 1034,,Identify the solo instrument.,RECORDER,,,,,II194.mp3,MusOpen,PD
II195,Woodwind,RECORDER,Harpsichord,,Bach,Baroque,,E minor,Flute Sonata BWV 1034,,Identify the solo instrument.,RECORDER,,,,,II195.mp3,MusOpen,PD
II196,Woodwind,RECORDER,Harpsichord,,Bach,Baroque,,E minor,Flute Sonata BWV 1034,,Identify the solo instrument.,RECORDER,,,,,II196.mp3,MusOpen,PD
II197,Woodwind,RECORDER,Harpsichord,,Bach,Baroque,,E minor,Flute Sonata BWV 1034,,Identify the solo instrument.,RECORDER,,,,,II197.mp3,MusOpen,PD
II198,Woodwind,RECORDER,Harpsichord,,Bach,Baroque,,E minor,Flute Sonata BWV 1034,,Identify the solo instrument.,RECORDER,,,,,II198.mp3,MusOpen,PD
II199,Woodwind,RECORDER,Harpsichord,,Bach,Baroque,,E minor,Flute Sonata BWV 1034,,Identify the solo instrument.,RECORDER,,,,,II199.mp3,MusOpen,PD
II200,Woodwind,RECORDER,Harpsichord,,Bach,Baroque,,E minor,Flute Sonata BWV 1034,,Identify the solo instrument.,RECORDER,,,,,II200.mp3,MusOpen,PD
II201,Woodwind,FLUTE,Solo,,Bach,Baroque,,A minor,Partita BWV 1013,,Identify the instrument.,FLUTE,,,,,II201.mp3,MusOpen,PD
II202,Woodwind,FLUTE,Solo,,Bach,Baroque,,A minor,Partita BWV 1013,,Identify the instrument.,FLUTE,,,,,II202.mp3,MusOpen,PD
II203,Woodwind,FLUTE,Solo,,Bach,Baroque,,A minor,Partita BWV 1013,,Identify the instrument.,FLUTE,,,,,II203.mp3,MusOpen,PD
II204,Woodwind,FLUTE,Solo,,Bach,Baroque,,A minor,Partita BWV 1013,,Identify the instrument.,FLUTE,,,,,II204.mp3,MusOpen,PD
II205,Woodwind,FLUTE,Solo,,Bach,Baroque,,A minor,Partita BWV 1013 (3),,Identify the instrument.,FLUTE,,,,,II205.mp3,MusOpen,PD
II206,Woodwind,FLUTE,Solo,,Bach,Baroque,,A minor,Partita BWV 1013 (3),,Identify the instrument.,FLUTE,,,,,II206.mp3,MusOpen,PD
II207,Woodwind,FLUTE,Solo,,Bach,Baroque,,A minor,Partita BWV 1013 (3),,Identify the instrument.,FLUTE,,,,,II207.mp3,MusOpen,PD
II208,Brass,TRUMPET,Solo,EASY,,,,,Allegro - Rondeau,,Identify the instrument.,TRUMPET,,,,,II208.mp3,MusOpen,PD
II209,Brass,TRUMPET,Solo,EASY,,,,,Allegro - Rondeau,,Identify the instrument.,TRUMPET,,,,,II209.mp3,MusOpen,PD
II210,Brass,TRUMPET,Solo,EASY,,,,,Allegro - Rondeau,,Identify the instrument.,TRUMPET,,,,,II210.mp3,MusOpen,PD
II211,Brass,TRUMPET,Solo,EASY,,,,,Allegro - Rondeau,,Identify the instrument.,TRUMPET,,,,,II211.mp3,MusOpen,PD
II212,Woodwind,FLUTE,Solo,EASY,Kuhlau,Romantic,,,3 Fantasies Op. 38 No.1,,Identify the instrument.,FLUTE,,,,,II212.mp3,MusOpen,PD
II213,Woodwind,FLUTE,Solo,EASY,Kuhlau,Romantic,,,3 Fantasies Op. 38 No.1,,Identify the instrument.,FLUTE,,,,,II213.mp3,MusOpen,PD
II214,Woodwind,FLUTE,Solo,EASY,Kuhlau,Romantic,,,3 Fantasies Op. 38 No.1,,Identify the instrument.,FLUTE,,,,,II214.mp3,MusOpen,PD
II215,Woodwind,FLUTE,Solo,EASY,Kuhlau,Romantic,,,3 Fantasies Op. 38 No.1,,Identify the instrument.,FLUTE,,,,,II215.mp3,MusOpen,PD
II216,Woodwind,FLUTE,Solo,EASY,Kuhlau,Romantic,,,3 Fantasies Op. 38 No.1,,Identify the instrument.,FLUTE,,,,,II216.mp3,MusOpen,PD
II217,Woodwind,FLUTE,Solo,EASY,Kuhlau,Romantic,,,3 Fantasies Op. 38 No.1,,Identify the instrument.,FLUTE,,,,,II217.mp3,MusOpen,PD
II218,Woodwind,FLUTE,Solo,EASY,Kuhlau,Romantic,,,3 Fantasies Op. 38 No.1,,Identify the instrument.,FLUTE,,,,,II218.mp3,MusOpen,PD
II219,Woodwind,FLUTE,Solo,EASY,Andersen,Romantic,,B minor,24 Etudes for Flute Op. 15 (6),,Identify the instrument.,FLUTE,,,,,II219.mp3,MusOpen,PD
II220,Woodwind,FLUTE,Solo,EASY,Andersen,Romantic,,B minor,24 Etudes for Flute Op. 15 (6),,Identify the instrument.,FLUTE,,,,,II220.mp3,MusOpen,PD
II221,Woodwind,FLUTE,Solo,EASY,Andersen,Romantic,,B minor,24 Etudes for Flute Op. 15 (6),,Identify the instrument.,FLUTE,,,,,II221.mp3,MusOpen,PD
II222,Woodwind,FLUTE,Solo,EASY,Andersen,Romantic,,B minor,24 Etudes for Flute Op. 15 (6),,Identify the instrument.,FLUTE,,,,,II222.mp3,MusOpen,PD
II223,Woodwind,FLUTE,Solo,EASY,CPE Bach,Baroque,,A minor,Flute Sonata H562 (1),,Identify the instrument.,FLUTE,,,,,II223.mp3,MusOpen,PD
II224,Woodwind,FLUTE,Solo,EASY,CPE Bach,Baroque,,A minor,Flute Sonata H562 (1),,Identify the instrument.,FLUTE,,,,,II224.mp3,MusOpen,PD
II225,Woodwind,FLUTE,Solo,EASY,CPE Bach,Baroque,,A minor,Flute Sonata H562 (1),,Identify the instrument.,FLUTE,Name the ornament in the excerpt.,TRILL,,,II225.mp3,MusOpen,PD
II226,Woodwind,FLUTE,Solo,EASY,CPE Bach,Baroque,,A minor,Flute Sonata H562 (1),,Identify the instrument.,FLUTE,,,,,II226.mp3,MusOpen,PD
II227,Woodwind,FLUTE,Solo,EASY,CPE Bach,Baroque,,A minor,Flute Sonata H562 (1),,Identify the instrument.,FLUTE,,,,,II227.mp3,MusOpen,PD
II228,Brass,TRUMPET,Solo,MEDIUM,,,,,2 Siciliano Rondeau Arr.,,Identify the instrument.,TRUMPET,,,,,II228.mp3,MusOpen,PD
II229,Brass,TRUMPET,Solo,MEDIUM,,,,,2 Siciliano Rondeau Arr.,,Identify the instrument.,TRUMPET,,,,,II229.mp3,MusOpen,PD
II230,Brass,TRUMPET,Solo,MEDIUM,,,,,2 Siciliano Rondeau Arr.,,Identify the instrument.,TRUMPET,,,,,II230.mp3,MusOpen,PD
II231,Brass,TRUMPET,Solo,MEDIUM,,,,,2 Siciliano Rondeau Arr.,,Identify the instrument.,TRUMPET,,,,,II231.mp3,MusOpen,PD
II232,Woodwind,OBOE,Orchestral,,,,,,Concerto for Oboe and Orch.,,Identify the solo instrument.,OBOE,,,,,II232.mp3,MusOpen,PD
II233,Woodwind,OBOE,Orchestral,,,,,,Concerto for Oboe and Orch.,,Identify the solo instrument.,OBOE,,,,,II233.mp3,MusOpen,PD
II234,Woodwind,OBOE,Orchestral,,,,,,Concerto for Oboe and Orch.,,Identify the solo instrument.,OBOE,,,,,II234.mp3,MusOpen,PD
II235,Woodwind,OBOE,Orchestral,,,,,,Concerto for Oboe and Orch.,,Identify the solo instrument.,OBOE,,,,,II235.mp3,MusOpen,PD
II236,Woodwind,OBOE,Orchestral,,,,,,Concerto for Oboe and Orch.,,Identify the solo instrument.,OBOE,,,,,II236.mp3,MusOpen,PD
II237,Woodwind,OBOE,Orchestral,,,,,,Concerto for Oboe and Orch.,,Identify the solo instrument.,OBOE,,,,,II237.mp3,MusOpen,PD
II238,Woodwind,OBOE,Orchestral,,,,,,Concerto for Oboe and Orch.,,Identify the solo instrument.,OBOE,,,,,II238.mp3,MusOpen,PD
II239,Woodwind,OBOE,Orchestral,,,,,,Concerto for Oboe and Orch.,,Identify the solo instrument.,OBOE,,,,,II239.mp3,MusOpen,PD
II240,Woodwind,OBOE,Orchestral,,,,,,Concerto for Oboe and Orch.,,Identify the solo instrument.,OBOE,,,,,II240.mp3,MusOpen,PD
